Category,Sub_Category,Name,Location_Area,Price_Range_INR,Description,Rating,Contact_Timings
Tourist Spots,Beach,Baga Beach,North Goa,Free-500,Popular beach with water sports and nightlife,4.3/5,24 hours
Tourist Spots,Beach,Calangute Beach,North Goa,Free-300,Queen of beaches with shacks and activities,4.2/5,24 hours
Tourist Spots,Beach,Anjuna Beach,North Goa,Free-400,Famous for flea market and trance parties,4.4/5,24 hours
Tourist Spots,Beach,Vagator Beach,North Goa,Free-200,Scenic beach with red cliffs and sunset views,4.5/5,24 hours
Tourist Spots,Beach,Palolem Beach,South Goa,Free-300,Crescent-shaped beach with coconut palms,4.6/5,24 hours
Tourist Spots,Beach,Arambol Beach,North Goa,Free-200,Bohemian beach with drum circles and yoga,4.4/5,24 hours
Tourist Spots,Beach,Colva Beach,South Goa,Free-250,Longest beach in Goa with white sand,4.1/5,24 hours
Tourist Spots,Church,Basilica of Bom Jesus,Old Goa,Free,UNESCO World Heritage site with St Francis Xavier,4.7/5,9:00 AM - 6:30 PM
Tourist Spots,Church,Se Cathedral,Old Goa,Free,Largest church in Asia dedicated to St Catherine,4.6/5,7:30 AM - 6:00 PM
Tourist Spots,Fort,Aguada Fort,Sinquerim,Free,17th-century Portuguese fort with lighthouse,4.4/5,9:30 AM - 5:30 PM
Tourist Spots,Waterfall,Dudhsagar Falls,Bhagwan Mahavir Sanctuary,300-2000,Four-tiered waterfall with train crossing,4.5/5,Best during monsoon
Tourist Spots,Wildlife,Bhagwan Mahavir Wildlife Sanctuary,Molem,25-100,Wildlife sanctuary with diverse flora and fauna,4.2/5,8:30 AM - 5:30 PM
Tourist Spots,Spice Plantation,Sahakari Spice Farm,Ponda,400-800,Organic spice plantation with guided tours,4.3/5,9:00 AM - 5:00 PM
Tourist Spots,Museum,Goa State Museum,Panaji,10-30,Archaeological artifacts and historical exhibits,4.1/5,9:30 AM - 5:30 PM
Shopping,Market,Anjuna Flea Market,Anjuna Beach,100-3000,Weekly market with hippie items and souvenirs,4.3/5,Wednesdays 9:00 AM - 6:00 PM
