Category,Sub_Category,Name,Location_Area,Price_Range_INR,Description,Rating,Contact_Timings
Tourist Spots,Palace/Fort,Amber Fort,Amber,500-1000,Historic fort with elephant rides and light show,4.5/5,8:00 AM - 6:00 PM
Tourist Spots,Palace/Fort,City Palace,City Palace Road,700-1500,Royal palace complex with museums,4.4/5,9:30 AM - 5:00 PM
Tourist Spots,Palace/Fort,Hawa Mahal,Hawa Mahal Road,200-300,Iconic pink sandstone palace with 953 windows,4.3/5,9:00 AM - 4:30 PM
Tourist Spots,Palace/Fort,Nahargarh Fort,Nahargarh Hills,300-500,Hilltop fort with panoramic city views,4.2/5,10:00 AM - 5:30 PM
Tourist Spots,Palace/Fort,Jaigarh Fort,Aravalli Hills,300-400,Fort housing world's largest cannon,4.1/5,9:00 AM - 4:30 PM
Tourist Spots,Religious,Birla Mandir,Tilak Nagar,Free,Beautiful white marble temple,4.3/5,6:00 AM - 10:00 PM
Tourist Spots,Religious,Govind Dev Ji Temple,City Palace Complex,Free,Famous Krishna temple,4.4/5,4:30 AM - 11:30 PM
Tourist Spots,Garden/Park,Jal Mahal,Man Sagar Lake,100-200,Water palace in middle of lake,4.0/5,24 hours (viewing)
Tourist Spots,Observatory,Jantar Mantar,Jantar Mantar Road,200-300,UNESCO World Heritage astronomical observatory,4.2/5,9:00 AM - 4:30 PM
Tourist Spots,Garden/Park,Ram Niwas Garden,Ram Niwas Garden,50-100,Historic garden with zoo and museum,3.8/5,8:00 AM - 6:00 PM
Shopping,Market,Johari Bazaar,Old City,500-50000,Jewelry gems and traditional ornaments,4.2/5,10:00 AM - 9:00 PM
Shopping,Market,Bapu Bazaar,Bapu Bazaar Road,200-5000,Textiles shoes and handicrafts,4.1/5,10:00 AM - 9:00 PM
Shopping,Market,Tripolia Bazaar,Tripolia Gate,300-8000,Lac bangles brassware and ironware,4.0/5,10:00 AM - 8:00 PM
Shopping,Mall,World Trade Park,Malviya Nagar,500-10000,Modern shopping mall with brands,4.3/5,10:00 AM - 10:00 PM
Shopping,Handicrafts,Rajasthali,MI Road,200-3000,Government emporium for handicrafts,4.1/5,10:00 AM - 7:30 PM
Shopping,Market,Chandpole Bazaar,Chandpole Gate,100-2000,Marble items and traditional goods,3.9/5,10:00 AM - 8:00 PM
Shopping,Market,Nehru Bazaar,Nehru Bazaar Road,150-3000,Perfumes mojaris and textiles,4.0/5,10:00 AM - 9:00 PM
Shopping,Handicrafts,Anokhi,C-Scheme,800-5000,Block-printed textiles and clothing,4.4/5,10:00 AM - 8:00 PM
Food,Fine Dining,Peacock Rooftop,Hotel Pearl Palace,1500-3000,Rooftop dining with city views,4.5/5,7:00 PM - 11:00 PM
Food,Traditional,Chokhi Dhani,Tonk Road,800-1500,Rajasthani village theme restaurant,4.3/5,5:00 PM - 11:00 PM
Food,Street Food,Lassiwala,MI Road,50-150,Famous lassi shop since 1944,4.6/5,8:00 AM - 11:00 PM
Food,Traditional,Spice Court,Amer Road,800-2000,Authentic Rajasthani cuisine,4.4/5,11:00 AM - 11:00 PM
Food,Vegetarian,Surya Mahal,MI Road,300-800,Pure vegetarian restaurant,4.2/5,11:00 AM - 11:00 PM
Food,Sweets,Rawat Mishtan Bhandar,Sindhi Camp,100-500,Famous for kachori and sweets,4.5/5,8:00 AM - 10:00 PM
Food,Fine Dining,1135 AD,Amber Fort,2000-4000,Heritage restaurant in fort setting,4.6/5,7:00 PM - 10:30 PM
Food,Cafe,Tapri Central,MI Road,200-600,Popular tea cafe with multiple locations,4.3/5,9:00 AM - 11:00 PM
Food,Street Food,Pandit Pav Bhaji,Johari Bazaar,80-200,Famous street food spot,4.4/5,6:00 PM - 11:00 PM
Food,Multi-cuisine,Handi Restaurant,MI Road,500-1500,Popular restaurant with diverse menu,4.2/5,12:00 PM - 11:00 PM
Hotels,Luxury,Taj Rambagh Palace,Rambagh,25000-80000,Former royal palace luxury heritage hotel,4.8/5,Check-in: 3:00 PM
Hotels,Luxury,The Oberoi Rajvilas,Goner Road,30000-100000,Luxury resort with royal architecture,4.7/5,Check-in: 2:00 PM
Hotels,Heritage,Samode Haveli,Gangapole,8000-25000,175-year-old heritage hotel,4.5/5,Check-in: 2:00 PM
Hotels,Mid-Range,Hotel Pearl Palace,Hari Kishan Somani Marg,2000-5000,Boutique hotel with rooftop restaurant,4.4/5,Check-in: 12:00 PM
Hotels,Budget,Zostel Jaipur,MI Road,800-2500,Backpacker hostel with modern amenities,4.2/5,Check-in: 1:00 PM
Hotels,Luxury,ITC Rajputana,Palace Road,8000-20000,5-star hotel with Rajasthani architecture,4.5/5,Check-in: 3:00 PM
Hotels,Mid-Range,Hotel Diggi Palace,Shivaji Nagar,3000-8000,Heritage hotel with gardens,4.3/5,Check-in: 2:00 PM
Hotels,Budget,Backpacker Panda,Bani Park,600-1800,Budget-friendly hostel,4.1/5,Check-in: 12:00 PM
Hotels,Heritage,Alsisar Haveli,Sansar Chandra Road,4000-12000,17th-century heritage hotel,4.4/5,Check-in: 2:00 PM
Hotels,Mid-Range,Hotel Arya Niwas,Sansar Chandra Road,2500-6000,Family-run hotel with traditional charm,4.3/5,Check-in: 12:00 PM
